hashed_id,rider_id,driver_id,fare,estimated_fare,ride_duration,estimated_ride_duration,ride_distance,estimated_ride_distance,status,rating,drivers_tried,undiscounted_fare,review_requested,discount,canceled_by,payment_type,status_rec,driver_assigned,canceled_by_type
94FQ79,50558,4049878,46,89,1227,817,4781,4781,COMPLETED,5,"4049878,",93,0,46,,1,1,1,0
94D20H,66497,7253868,47,91,1388,1049,6127,6127,COMPLETED,0,"1313403,2166135,2911832,1267987,5767689,7253868,",93,0,47,,1,1,1,0
94DPS5,516297,7764772,235,251,3422,2291,15319,15685,COMPLETED,0,"3109567,7509075,7764772,",261,0,26,,1,1,1,0
94E60C,679172,1848359,30,58,938,615,3214,3214,COMPLETED,5,"5461220,3063203,1848359,",61,0,30,,2,1,1,0
94EE4G,200935,6549438,43,46,732,563,2067,2067,COMPLETED,5,"7565959,3531720,180876,6549438,",47,0,5,,1,1,1,0
94E8TN,2235809,4770062,41,82,1098,1020,5243,5243,COMPLETED,4,"1469295,4841023,7319025,2553583,4770062,",82,0,41,,1,1,1,0
94FHB1,6493723,2172126,206,229,2733,2435,18705,18705,COMPLETED,0,"566445,1391481,2172126,",229,0,23,,1,1,1,0
94CHL3,6463488,7598199,29,225,3874,2058,16,15218,COMPLETED,5,"350632,458543,4284664,4782885,7598199,",57,0,29,,1,1,1,0
94D5CF,2120212,2843707,38,75,1085,798,4382,4686,COMPLETED,0,"2843707,",77,0,38,,1,1,1,0
94DSE3,6312852,2669096,43,86,992,1163,5567,5567,COMPLETED,4,"2669096,",86,0,43,,1,1,1,0
94ELFE,125586,1467241,44,88,1029,1185,5416,5714,COMPLETED,0,"1467241,",88,0,44,,1,1,1,0
94B5CG,3572696,1498128,46,92,726,1028,6236,6236,COMPLETED,5,"2897949,7319025,2267667,1498128,",92,0,46,,1,1,1,0
94BGAD,587414,3530554,205,227,1245,2175,9521,10984,COMPLETED,0,"1389894,576797,3530554,",227,0,23,,1,1,1,0
94C0RB,6225551,370020,35,66,958,590,2433,2433,COMPLETED,5,"370020,",69,0,35,,1,1,1,0
94DFAL,1320428,6670712,26,53,435,573,2674,2674,COMPLETED,5,"6670712,",53,0,26,,1,1,1,0
94DOJM,1796078,3354386,44,48,645,494,2338,2236,COMPLETED,0,"4697816,5130332,1251387,224005,4016630,7640107,136982,3354386,",49,0,5,,1,1,1,0
94FDJ6,1143076,351424,45,85,1069,643,3482,3482,COMPLETED,5,"46240,351424,",89,0,45,,1,1,1,0
94CD69,7754940,2387653,211,235,2319,1800,15124,15124,COMPLETED,5,"2387653,",235,0,23,,1,1,1,0
94CJE7,1448809,1660108,232,239,5082,2475,19664,19664,COMPLETED,0,"5994664,3590235,4864425,1660108,",257,0,26,,1,1,1,0
